OCCUPATION,Current monthly rent,How long have you stayed at this PG? (in months),"Overall, how would you rate the physical amenities (room, furniture, Wi-Fi, food) at this PG?",How would you rate the security of the PG?,"When you last raised a complaint, how long did it take to resolve?",How many complaints have you raised in the last 3 months?,Is your security deposit fully refundable based on what you've seen/heard from others who left?,Do you feel your rent is fair compared to similar PGs nearby?,"Overall, how satisfied are you with this PG?",Do you intend to renew/continue your stay at this PG beyond your current term?,What's the single biggest reason for your answer above?
WORKING PROFESSIONAL,9500,22.7,5,4,same day,0,"Yes, straightforward",fair,5,Maybe,"The PG is convenient, although some amenities need improvement."
WORKING PROFESSIONAL,8500,23.8,5,4,same day,2,Not sure,fair,5,Yes,The management responds well to complaints.
WORKING PROFESSIONAL,16500,1.6,5,5,over a week,1,"Yes, straightforward",underpriced,5,Yes,I am satisfied with the amenities and security.
WORKING PROFESSIONAL,18000,8.3,5,4,few days,1,"Yes, straightforward",fair,4,Maybe,"The experience is generally okay, but I am comparing other options."
WORKING PROFESSIONAL,11500,28.8,4,4,same day,2,"Yes, straightforward",fair,4,Maybe,I may continue if the rent and facilities remain reasonable.
WORKING PROFESSIONAL,12000,36.0,4,4,no complaints raised,0,"Yes, straightforward",fair,5,Yes,The security and facilities are satisfactory.
WORKING PROFESSIONAL,10500,1.0,4,3,no complaints raised,0,Not sure,fair,5,Yes,The rent feels fair compared with other PGs nearby.
STUDENT,18000,8.1,4,4,same day,2,"Yes, straightforward",fair,3,Maybe,"The PG is convenient, although some amenities need improvement."
WORKING PROFESSIONAL,5500,16.8,5,5,no complaints raised,2,"Yes, straightforward",fair,5,Yes,The location is convenient and the overall experience is good.
WORKING PROFESSIONAL,10000,3.5,4,4,same day,1,"Yes, straightforward",fair,4,Yes,I am satisfied with the amenities and security.
WORKING PROFESSIONAL,18000,4.3,4,5,no complaints raised,2,"Yes, straightforward",fair,5,Yes,I am satisfied with the amenities and security.
WORKING PROFESSIONAL,12000,23.4,3,5,few days,3,Not sure,fair,4,Maybe,"The location is good, but the rent could be better."
WORKING PROFESSIONAL,18000,36.0,4,5,few days,1,"Yes, straightforward",fair,5,Yes,The rent is reasonable and the facilities are good.
WORKING PROFESSIONAL,5000,1.0,3,4,no complaints raised,3,Not sure,fair,4,Maybe,"The location is good, but the rent could be better."
WORKING PROFESSIONAL,7500,13.9,4,3,few days,2,"Yes, straightforward",fair,4,Maybe,"The PG is convenient, although some amenities need improvement."
WORKING PROFESSIONAL,18000,23.2,4,4,no complaints raised,2,Not sure,fair,5,Maybe,"The location is convenient, but some services could improve."
WORKING PROFESSIONAL,5000,27.9,5,4,no complaints raised,0,"Yes, straightforward",fair,5,Maybe,I may continue if the rent and facilities remain reasonable.
WORKING PROFESSIONAL,8500,21.1,5,4,same day,1,"Yes, straightforward",fair,5,Yes,I am satisfied with the amenities and security.
WORKING PROFESSIONAL,13500,36.0,4,3,same day,1,"Yes, straightforward",fair,4,Maybe,The facilities are acceptable but there are some issues.
WORKING PROFESSIONAL,5000,16.8,4,4,no complaints raised,3,"Yes, straightforward",fair,4,Yes,I am satisfied with the amenities and security.
WORKING PROFESSIONAL,5000,35.7,4,4,over a week,0,"Yes, straightforward",fair,5,Yes,The rent feels fair compared with other PGs nearby.
WORKING PROFESSIONAL,11500,6.9,2,4,no complaints raised,0,"Yes, straightforward",fair,4,Maybe,"The location is convenient, but some services could improve."
WORKING PROFESSIONAL,11000,17.3,4,3,no complaints raised,2,"Yes, straightforward",fair,5,Maybe,I may continue if the rent and facilities remain reasonable.
WORKING PROFESSIONAL,18000,1.0,4,4,same day,2,"Yes, straightforward",fair,5,Maybe,"The PG is convenient, although some amenities need improvement."
STUDENT,18000,29.6,5,4,few days,0,"Yes, straightforward",underpriced,5,Maybe,"The location is convenient, but some services could improve."
WORKING PROFESSIONAL,5000,14.6,4,2,no complaints raised,1,"Yes, straightforward",fair,3,Maybe,I may continue if the rent and facilities remain reasonable.
WORKING PROFESSIONAL,11500,21.7,3,4,same day,2,"Yes, straightforward",fair,5,Maybe,"The location is convenient, but some services could improve."
WORKING PROFESSIONAL,18000,11.8,4,5,few days,0,"Yes, straightforward",fair,5,Yes,The rent feels fair compared with other PGs nearby.
WORKING PROFESSIONAL,18000,25.0,5,4,never resolved,0,"Yes, straightforward",fair,5,Yes,The security and facilities are satisfactory.
WORKING PROFESSIONAL,18000,22.2,4,4,same day,0,"Yes, straightforward",fair,5,Maybe,"The experience is generally okay, but I am comparing other options."
WORKING PROFESSIONAL,14000,1.8,4,3,no complaints raised,3,"Yes, straightforward",fair,4,Maybe,"The PG is convenient, although some amenities need improvement."
STUDENT,18000,2.6,3,4,same day,1,"Yes, straightforward",fair,5,Yes,The rent feels fair compared with other PGs nearby.
WORKING PROFESSIONAL,18000,16.0,3,4,never resolved,2,"Yes, straightforward",fair,4,Yes,It is convenient for my college or workplace.
WORKING PROFESSIONAL,5000,26.1,4,4,same day,1,"Yes, straightforward",fair,4,Maybe,"The location is good, but the rent could be better."
WORKING PROFESSIONAL,12500,36.0,3,5,few days,1,"Yes, straightforward",fair,5,Yes,It is convenient for my college or workplace.
WORKING PROFESSIONAL,18000,20.9,4,5,same day,2,"Yes, straightforward",fair,5,Maybe,"The location is convenient, but some services could improve."
WORKING PROFESSIONAL,7500,31.2,4,4,few days,5,"Yes, straightforward",fair,3,No,The food quality is not satisfactory.
WORKING PROFESSIONAL,12000,1.0,5,4,same day,0,"Yes, straightforward",fair,5,Yes,The food and room facilities are satisfactory.
STUDENT,7000,36.0,5,5,no complaints raised,0,"Yes, straightforward",fair,5,Yes,The location is convenient and the overall experience is good.
WORKING PROFESSIONAL,5000,25.3,5,4,same day,4,"Yes, straightforward",underpriced,4,No,I am looking for a PG with better facilities.
WORKING PROFESSIONAL,10500,15.7,4,3,same day,0,"Yes, straightforward",overpriced,5,Yes,The food and room facilities are satisfactory.
WORKING PROFESSIONAL,14000,14.0,3,4,same day,1,"Yes, straightforward",fair,4,Maybe,"The facilities are decent, although maintenance can improve."
WORKING PROFESSIONAL,5000,1.0,4,5,same day,0,Not sure,fair,5,Yes,Good location and convenient for my daily travel.
WORKING PROFESSIONAL,5000,4.3,3,3,no complaints raised,1,"Yes, straightforward",overpriced,3,No,The rent is high compared with other PGs nearby.
WORKING PROFESSIONAL,5000,36.0,5,4,few days,2,"Yes, straightforward",fair,5,Maybe,"The location is convenient, but some services could improve."
STUDENT,18000,1.9,3,4,same day,1,"Yes, straightforward",fair,5,Maybe,"The facilities are decent, although maintenance can improve."
WORKING PROFESSIONAL,18000,1.6,4,5,same day,0,"Yes, straightforward",fair,5,Yes,The rent is reasonable and the facilities are good.
WORKING PROFESSIONAL,18000,6.1,4,4,same day,0,"Yes, straightforward",fair,5,Maybe,"The location is convenient, but some services could improve."
WORKING PROFESSIONAL,5000,1.0,5,5,few days,0,Not sure,underpriced,5,Yes,The rent is reasonable and the facilities are good.
WORKING PROFESSIONAL,18000,16.6,5,5,same day,2,"Yes, straightforward",fair,5,Maybe,"The PG is convenient, although some amenities need improvement."
STUDENT,5000,32.4,3,3,same day,2,"Yes, straightforward",fair,5,Yes,The food and room facilities are satisfactory.
WORKING PROFESSIONAL,5000,7.4,4,4,few days,2,"Yes, straightforward",fair,3,Maybe,"The security is good, but the rent is slightly high."
WORKING PROFESSIONAL,5000,1.0,5,4,same day,1,"Yes, straightforward",fair,3,Yes,The management responds well to complaints.
WORKING PROFESSIONAL,18000,20.7,5,4,same day,1,Not sure,fair,5,Maybe,The facilities are acceptable but there are some issues.
WORKING PROFESSIONAL,18000,15.6,3,5,no complaints raised,2,"Yes, straightforward",fair,4,No,The room and common facilities need better maintenance.
WORKING PROFESSIONAL,9000,31.1,3,4,no complaints raised,4,Disputes are common,fair,4,Maybe,The facilities are acceptable but there are some issues.
WORKING PROFESSIONAL,9000,9.7,3,4,no complaints raised,1,"Yes, straightforward",fair,4,Maybe,"The experience is generally okay, but I am comparing other options."
WORKING PROFESSIONAL,16000,12.6,5,5,same day,1,Not sure,fair,5,Yes,The management responds well to complaints.
WORKING PROFESSIONAL,17500,14.2,5,5,same day,1,"Yes, straightforward",fair,5,Yes,The rent is reasonable and the facilities are good.
WORKING PROFESSIONAL,18000,17.7,4,4,never resolved,0,Not sure,fair,5,Maybe,"The security is good, but the rent is slightly high."
WORKING PROFESSIONAL,5000,10.6,4,3,no complaints raised,1,"Yes, straightforward",fair,4,Yes,It is convenient for my college or workplace.
WORKING PROFESSIONAL,10500,8.3,4,5,same day,1,Disputes are common,fair,5,Maybe,"The location is good, but the rent could be better."
WORKING PROFESSIONAL,5000,1.0,4,4,no complaints raised,0,"Yes, straightforward",fair,4,Maybe,"The facilities are decent, although maintenance can improve."
WORKING PROFESSIONAL,9500,8.1,3,4,same day,1,"Yes, straightforward",fair,4,No,The room and common facilities need better maintenance.
WORKING PROFESSIONAL,7500,26.9,4,4,same day,2,"Yes, straightforward",fair,5,Yes,Good location and convenient for my daily travel.
WORKING PROFESSIONAL,9500,28.9,3,4,same day,0,"Yes, straightforward",fair,5,Yes,The management responds well to complaints.
WORKING PROFESSIONAL,5000,9.5,5,3,no complaints raised,1,"Yes, straightforward",underpriced,5,No,The complaint resolution process needs improvement.
WORKING PROFESSIONAL,5000,35.5,3,3,no complaints raised,0,"Yes, straightforward",underpriced,4,Maybe,"The location is convenient, but some services could improve."
STUDENT,5000,16.0,3,4,no complaints raised,2,"Yes, straightforward",fair,2,No,I found better accommodation options nearby.
WORKING PROFESSIONAL,8500,1.0,4,3,same day,1,"Yes, straightforward",fair,4,Yes,The security and facilities are satisfactory.
WORKING PROFESSIONAL,5000,1.0,3,4,same day,0,Disputes are common,fair,5,Yes,The rent feels fair compared with other PGs nearby.
WORKING PROFESSIONAL,5000,34.3,4,3,same day,1,"Yes, straightforward",fair,5,Yes,The security and facilities are satisfactory.
WORKING PROFESSIONAL,18000,10.9,4,5,few days,1,Not sure,fair,5,Maybe,"The security is good, but the rent is slightly high."
WORKING PROFESSIONAL,5000,1.0,5,3,same day,2,"Yes, straightforward",fair,5,Yes,The location is convenient and the overall experience is good.
WORKING PROFESSIONAL,18000,1.0,4,5,no complaints raised,1,"Yes, straightforward",fair,5,Maybe,"The PG is convenient, although some amenities need improvement."
STUDENT,18000,10.6,5,5,same day,2,Not sure,fair,5,Yes,Good location and convenient for my daily travel.
WORKING PROFESSIONAL,5000,22.4,4,3,same day,1,"Yes, straightforward",fair,5,Yes,It is convenient for my college or workplace.
WORKING PROFESSIONAL,11500,6.2,5,4,same day,0,"Yes, straightforward",fair,5,Yes,The location is convenient and the overall experience is good.
WORKING PROFESSIONAL,5000,1.0,4,4,over a week,2,"Yes, straightforward",fair,4,Yes,It is convenient for my college or workplace.
WORKING PROFESSIONAL,5000,8.3,5,5,same day,3,"Yes, straightforward",fair,5,Maybe,"The security is good, but the rent is slightly high."
WORKING PROFESSIONAL,5000,34.7,5,5,same day,0,"Yes, straightforward",fair,5,Yes,Good location and convenient for my daily travel.
WORKING PROFESSIONAL,18000,1.0,4,5,same day,1,Not sure,fair,5,Yes,The management responds well to complaints.
WORKING PROFESSIONAL,18000,7.0,5,4,same day,1,"Yes, straightforward",fair,5,Yes,It is convenient for my college or workplace.
WORKING PROFESSIONAL,18000,34.2,4,4,few days,3,"Yes, straightforward",fair,5,Yes,I am satisfied with the amenities and security.
WORKING PROFESSIONAL,14500,23.7,4,5,same day,0,"Yes, straightforward",underpriced,5,Maybe,"The location is good, but the rent could be better."
WORKING PROFESSIONAL,10000,19.0,3,5,no complaints raised,2,"Yes, straightforward",fair,4,Maybe,"The security is good, but the rent is slightly high."
WORKING PROFESSIONAL,18000,6.9,3,5,no complaints raised,1,"Yes, straightforward",fair,4,Maybe,"The location is good, but the rent could be better."
WORKING PROFESSIONAL,18000,16.9,5,5,no complaints raised,0,"Yes, straightforward",underpriced,5,Maybe,"The security is good, but the rent is slightly high."
WORKING PROFESSIONAL,5000,8.5,3,4,same day,0,Not sure,fair,4,Maybe,"The location is convenient, but some services could improve."
WORKING PROFESSIONAL,5000,3.8,4,4,same day,0,"Yes, straightforward",fair,5,Maybe,The facilities are acceptable but there are some issues.
WORKING PROFESSIONAL,5000,1.0,4,3,same day,1,Not sure,fair,4,Maybe,"The PG is convenient, although some amenities need improvement."
WORKING PROFESSIONAL,18000,27.9,4,4,same day,0,"Yes, straightforward",fair,5,Yes,The food and room facilities are satisfactory.
WORKING PROFESSIONAL,9500,15.5,4,3,same day,2,"Yes, straightforward",underpriced,4,No,The amenities need improvement.
WORKING PROFESSIONAL,12500,21.0,4,4,over a week,2,"Yes, straightforward",fair,5,Yes,The location is convenient and the overall experience is good.
WORKING PROFESSIONAL,5000,18.6,4,4,same day,1,"Yes, straightforward",fair,5,Yes,The location is convenient and the overall experience is good.
WORKING PROFESSIONAL,5000,22.9,5,4,no complaints raised,1,"Yes, straightforward",fair,4,Maybe,"The PG is convenient, although some amenities need improvement."
WORKING PROFESSIONAL,6500,12.7,5,4,no complaints raised,0,"Yes, straightforward",underpriced,5,Yes,It is convenient for my college or workplace.
WORKING PROFESSIONAL,13000,9.3,4,5,same day,0,"Yes, straightforward",fair,5,Yes,The location is convenient and the overall experience is good.
WORKING PROFESSIONAL,5000,4.4,5,4,same day,1,Not sure,underpriced,5,Yes,The location is convenient and the overall experience is good.
WORKING PROFESSIONAL,5000,1.0,3,5,same day,1,"Yes, straightforward",fair,4,Maybe,"The security is good, but the rent is slightly high."
WORKING PROFESSIONAL,5000,1.0,3,5,never resolved,1,"Yes, straightforward",fair,5,Yes,Good location and convenient for my daily travel.
WORKING PROFESSIONAL,18000,11.0,3,4,same day,1,"Yes, straightforward",overpriced,4,Maybe,The facilities are acceptable but there are some issues.
WORKING PROFESSIONAL,13500,1.0,4,4,same day,1,Disputes are common,fair,5,Yes,It is convenient for my college or workplace.
WORKING PROFESSIONAL,18000,1.0,3,5,no complaints raised,1,"Yes, straightforward",fair,4,Yes,I am satisfied with the amenities and security.
WORKING PROFESSIONAL,5000,31.7,3,4,same day,1,"Yes, straightforward",fair,5,Maybe,"The PG is convenient, although some amenities need improvement."
WORKING PROFESSIONAL,5000,19.7,4,5,no complaints raised,1,Not sure,fair,5,Yes,The management responds well to complaints.
WORKING PROFESSIONAL,5000,9.8,3,5,never resolved,0,"Yes, straightforward",underpriced,4,Maybe,"The facilities are decent, although maintenance can improve."
WORKING PROFESSIONAL,5000,36.0,5,5,few days,1,Not sure,fair,5,Yes,I am satisfied with the amenities and security.
WORKING PROFESSIONAL,14500,1.0,4,5,same day,1,"Yes, straightforward",fair,5,Yes,The location is convenient and the overall experience is good.
WORKING PROFESSIONAL,18000,30.7,5,4,no complaints raised,0,"Yes, straightforward",underpriced,5,Yes,The PG is comfortable and well maintained.
WORKING PROFESSIONAL,18000,14.8,4,4,same day,2,"Yes, straightforward",fair,5,Maybe,"The location is convenient, but some services could improve."
WORKING PROFESSIONAL,18000,27.9,3,5,same day,2,"Yes, straightforward",fair,4,No,Maintenance issues take too long to resolve.
STUDENT,17500,18.0,5,3,few days,3,"Yes, straightforward",fair,4,No,The room and common facilities need better maintenance.
WORKING PROFESSIONAL,5000,1.0,4,5,no complaints raised,0,"Yes, straightforward",fair,5,Yes,Good location and convenient for my daily travel.
STUDENT,14500,17.8,5,5,few days,2,"Yes, straightforward",fair,5,Maybe,"The facilities are decent, although maintenance can improve."
WORKING PROFESSIONAL,18000,21.3,4,4,few days,0,Not sure,fair,5,Yes,The rent is reasonable and the facilities are good.
WORKING PROFESSIONAL,18000,1.0,4,5,same day,1,"Yes, straightforward",fair,5,Maybe,"The PG is convenient, although some amenities need improvement."
WORKING PROFESSIONAL,5000,36.0,5,5,same day,1,"Yes, straightforward",overpriced,5,Maybe,"The PG is convenient, although some amenities need improvement."
WORKING PROFESSIONAL,13500,21.0,5,3,same day,1,"Yes, straightforward",fair,5,Yes,The management responds well to complaints.
WORKING PROFESSIONAL,5000,26.3,4,4,no complaints raised,2,Not sure,fair,5,Yes,The rent feels fair compared with other PGs nearby.
WORKING PROFESSIONAL,18000,1.0,5,4,same day,1,"Yes, straightforward",fair,5,Yes,The rent feels fair compared with other PGs nearby.
WORKING PROFESSIONAL,18000,26.6,4,4,no complaints raised,2,Not sure,fair,5,Maybe,"The experience is generally okay, but I am comparing other options."
WORKING PROFESSIONAL,10500,32.4,3,5,same day,2,"Yes, straightforward",fair,4,Maybe,"The location is convenient, but some services could improve."
WORKING PROFESSIONAL,5000,20.1,3,4,same day,4,"Yes, straightforward",fair,3,No,Maintenance issues take too long to resolve.
WORKING PROFESSIONAL,15000,16.3,4,3,same day,0,"Yes, straightforward",fair,5,Yes,The PG is comfortable and well maintained.
WORKING PROFESSIONAL,15500,3.3,5,4,no complaints raised,1,"Yes, straightforward",fair,5,Maybe,"The facilities are decent, although maintenance can improve."
WORKING PROFESSIONAL,11500,13.2,4,5,same day,2,"Yes, straightforward",fair,5,Yes,Good location and convenient for my daily travel.
WORKING PROFESSIONAL,12500,8.9,5,3,same day,0,Not sure,fair,5,Yes,The location is convenient and the overall experience is good.
WORKING PROFESSIONAL,8000,24.8,4,3,never resolved,0,"Yes, straightforward",fair,5,Maybe,The facilities are acceptable but there are some issues.
WORKING PROFESSIONAL,18000,3.9,5,4,same day,2,Not sure,fair,5,Maybe,"The location is good, but the rent could be better."
WORKING PROFESSIONAL,18000,24.7,4,5,no complaints raised,1,"Yes, straightforward",fair,5,Maybe,"The PG is convenient, although some amenities need improvement."
WORKING PROFESSIONAL,5000,4.1,4,4,no complaints raised,0,Not sure,underpriced,4,Maybe,"The location is convenient, but some services could improve."
WORKING PROFESSIONAL,5000,12.6,5,4,few days,3,"Yes, straightforward",fair,4,Maybe,I may continue if the rent and facilities remain reasonable.
STUDENT,7000,25.5,4,4,same day,0,"Yes, straightforward",fair,5,Yes,The management responds well to complaints.
WORKING PROFESSIONAL,18000,6.1,4,4,same day,2,"Yes, straightforward",fair,5,Maybe,"The security is good, but the rent is slightly high."
WORKING PROFESSIONAL,12000,26.0,4,4,never resolved,2,Not sure,fair,4,Maybe,"The location is convenient, but some services could improve."
WORKING PROFESSIONAL,5000,24.5,5,5,same day,2,"Yes, straightforward",fair,5,Yes,The food and room facilities are satisfactory.
WORKING PROFESSIONAL,13500,12.4,3,3,same day,0,"Yes, straightforward",fair,4,Maybe,"The experience is generally okay, but I am comparing other options."
WORKING PROFESSIONAL,6000,33.5,2,4,few days,2,"Yes, straightforward",fair,4,Maybe,I may continue if the rent and facilities remain reasonable.
WORKING PROFESSIONAL,18000,17.5,4,5,same day,0,Disputes are common,fair,5,Yes,The rent feels fair compared with other PGs nearby.
WORKING PROFESSIONAL,14500,32.6,5,4,no complaints raised,1,"Yes, straightforward",fair,5,Yes,The management responds well to complaints.
WORKING PROFESSIONAL,6500,36.0,4,3,no complaints raised,1,Not sure,fair,5,Maybe,"The security is good, but the rent is slightly high."
WORKING PROFESSIONAL,13000,12.9,3,3,no complaints raised,0,"Yes, straightforward",fair,5,Maybe,"The PG is convenient, although some amenities need improvement."
WORKING PROFESSIONAL,18000,25.9,4,5,same day,1,"Yes, straightforward",fair,5,Maybe,I may continue if the rent and facilities remain reasonable.
STUDENT,5000,7.0,3,5,same day,0,"Yes, straightforward",fair,5,Yes,Good location and convenient for my daily travel.
WORKING PROFESSIONAL,15500,1.2,5,4,few days,1,Disputes are common,fair,5,Yes,The location is convenient and the overall experience is good.
WORKING PROFESSIONAL,9500,13.5,4,3,no complaints raised,2,"Yes, straightforward",underpriced,3,No,The complaint resolution process needs improvement.
WORKING PROFESSIONAL,15500,1.0,4,4,no complaints raised,0,"Yes, straightforward",fair,5,Yes,The rent feels fair compared with other PGs nearby.
WORKING PROFESSIONAL,5000,2.6,4,5,same day,3,Not sure,underpriced,5,No,The overall facilities do not justify the rent.
WORKING PROFESSIONAL,11500,25.1,4,3,no complaints raised,2,"Yes, straightforward",fair,5,No,The room and common facilities need better maintenance.
WORKING PROFESSIONAL,18000,8.9,4,5,same day,1,"Yes, straightforward",fair,5,Yes,Good location and convenient for my daily travel.
WORKING PROFESSIONAL,5000,26.8,5,3,same day,0,"Yes, straightforward",fair,5,Yes,The rent is reasonable and the facilities are good.
WORKING PROFESSIONAL,5000,20.8,5,3,over a week,0,Not sure,fair,4,No,The room and common facilities need better maintenance.
WORKING PROFESSIONAL,5000,36.0,3,4,same day,1,"Yes, straightforward",fair,5,Maybe,"The facilities are decent, although maintenance can improve."
WORKING PROFESSIONAL,5000,24.1,4,5,over a week,0,Disputes are common,fair,5,Yes,The rent feels fair compared with other PGs nearby.
WORKING PROFESSIONAL,18000,32.8,3,5,few days,1,"Yes, straightforward",fair,4,Yes,It is convenient for my college or workplace.
WORKING PROFESSIONAL,5000,22.3,3,5,no complaints raised,1,"Yes, straightforward",fair,5,Maybe,"The security is good, but the rent is slightly high."
WORKING PROFESSIONAL,6500,21.0,4,5,no complaints raised,2,"Yes, straightforward",fair,5,Maybe,"The facilities are decent, although maintenance can improve."
WORKING PROFESSIONAL,18000,33.5,4,4,same day,1,Not sure,fair,5,Yes,The location is convenient and the overall experience is good.
WORKING PROFESSIONAL,15500,26.2,4,4,no complaints raised,2,"Yes, straightforward",fair,5,No,There are too many maintenance and service issues.
WORKING PROFESSIONAL,5500,19.5,4,5,no complaints raised,5,"Yes, straightforward",fair,4,No,The amenities need improvement.
WORKING PROFESSIONAL,12500,19.4,4,5,no complaints raised,0,"Yes, straightforward",fair,5,Yes,The location is convenient and the overall experience is good.
WORKING PROFESSIONAL,11500,24.3,5,5,same day,0,"Yes, straightforward",fair,5,Yes,It is convenient for my college or workplace.
WORKING PROFESSIONAL,7500,6.5,5,5,no complaints raised,1,"Yes, straightforward",fair,5,Yes,The rent feels fair compared with other PGs nearby.
WORKING PROFESSIONAL,7500,5.9,4,5,no complaints raised,1,"Yes, straightforward",fair,3,Maybe,"The location is convenient, but some services could improve."
WORKING PROFESSIONAL,18000,36.0,3,4,no complaints raised,4,"Yes, straightforward",fair,5,Maybe,"The experience is generally okay, but I am comparing other options."
WORKING PROFESSIONAL,18000,36.0,4,4,few days,1,"Yes, straightforward",fair,5,Maybe,"The experience is generally okay, but I am comparing other options."
WORKING PROFESSIONAL,18000,2.8,5,5,no complaints raised,1,Not sure,fair,5,Yes,The food and room facilities are satisfactory.
WORKING PROFESSIONAL,5000,6.6,3,4,same day,1,"Yes, straightforward",fair,5,Yes,The security and facilities are satisfactory.
WORKING PROFESSIONAL,9000,33.2,3,5,same day,2,"Yes, straightforward",fair,4,Yes,I am satisfied with the amenities and security.
WORKING PROFESSIONAL,5000,24.2,3,4,same day,2,"Yes, straightforward",fair,3,No,The overall facilities do not justify the rent.
WORKING PROFESSIONAL,5000,26.3,4,5,same day,1,"Yes, straightforward",fair,5,Maybe,"The location is good, but the rent could be better."
STUDENT,18000,29.6,3,5,same day,1,"Yes, straightforward",fair,4,Maybe,"The location is good, but the rent could be better."
STUDENT,5000,12.9,4,4,same day,1,Not sure,fair,4,No,The amenities need improvement.
WORKING PROFESSIONAL,18000,21.3,4,4,same day,0,"Yes, straightforward",fair,4,Yes,Good location and convenient for my daily travel.
STUDENT,5000,20.1,5,5,same day,2,"Yes, straightforward",fair,5,Yes,The rent feels fair compared with other PGs nearby.
WORKING PROFESSIONAL,5000,3.8,4,3,same day,3,"Yes, straightforward",fair,5,Yes,The rent is reasonable and the facilities are good.
WORKING PROFESSIONAL,6000,21.0,4,3,few days,2,Not sure,fair,3,No,The room and common facilities need better maintenance.
WORKING PROFESSIONAL,9500,34.6,4,4,over a week,1,"Yes, straightforward",fair,5,Yes,The rent is reasonable and the facilities are good.
WORKING PROFESSIONAL,18000,11.5,3,2,same day,2,"Yes, straightforward",fair,4,Yes,The management responds well to complaints.
STUDENT,16000,18.6,4,5,few days,1,"Yes, straightforward",fair,4,Yes,The security and facilities are satisfactory.
WORKING PROFESSIONAL,5000,19.4,3,4,same day,0,Not sure,fair,5,Yes,The PG is comfortable and well maintained.
WORKING PROFESSIONAL,8500,12.2,5,5,no complaints raised,0,"Yes, straightforward",underpriced,5,Yes,The location is convenient and the overall experience is good.
WORKING PROFESSIONAL,6000,26.3,4,5,no complaints raised,2,"Yes, straightforward",fair,5,Yes,The location is convenient and the overall experience is good.
WORKING PROFESSIONAL,5000,6.4,3,4,few days,1,Not sure,fair,4,Yes,The PG is comfortable and well maintained.
WORKING PROFESSIONAL,5000,36.0,4,5,same day,0,Disputes are common,fair,5,Maybe,"The location is good, but the rent could be better."
STUDENT,18000,25.6,2,3,same day,0,"Yes, straightforward",fair,4,Maybe,"The location is good, but the rent could be better."
WORKING PROFESSIONAL,5000,2.6,5,4,no complaints raised,1,Disputes are common,fair,5,Yes,It is convenient for my college or workplace.
WORKING PROFESSIONAL,18000,36.0,5,4,no complaints raised,2,Not sure,fair,5,Yes,The rent is reasonable and the facilities are good.
WORKING PROFESSIONAL,6000,18.9,4,5,same day,2,Not sure,overpriced,4,No,The rent is high compared with other PGs nearby.
WORKING PROFESSIONAL,5000,5.8,4,5,same day,1,"Yes, straightforward",fair,5,Yes,It is convenient for my college or workplace.
WORKING PROFESSIONAL,18000,32.6,3,4,no complaints raised,1,"Yes, straightforward",fair,4,Maybe,"The experience is generally okay, but I am comparing other options."
WORKING PROFESSIONAL,18000,23.7,3,5,same day,2,"Yes, straightforward",fair,4,Yes,It is convenient for my college or workplace.
WORKING PROFESSIONAL,18000,1.0,3,5,few days,0,"Yes, straightforward",fair,5,Yes,The rent is reasonable and the facilities are good.
WORKING PROFESSIONAL,16500,8.7,4,4,few days,0,Not sure,fair,5,Yes,The rent is reasonable and the facilities are good.
WORKING PROFESSIONAL,18000,20.5,5,5,no complaints raised,0,"Yes, straightforward",fair,5,Yes,The rent is reasonable and the facilities are good.
WORKING PROFESSIONAL,5000,1.0,4,4,same day,2,"Yes, straightforward",fair,5,Yes,It is convenient for my college or workplace.
WORKING PROFESSIONAL,5000,17.7,4,5,no complaints raised,0,"Yes, straightforward",fair,5,Maybe,"The PG is convenient, although some amenities need improvement."
WORKING PROFESSIONAL,5000,18.7,5,5,same day,0,"Yes, straightforward",underpriced,5,Maybe,I may continue if the rent and facilities remain reasonable.
WORKING PROFESSIONAL,18000,1.0,3,3,no complaints raised,2,"Yes, straightforward",fair,5,Yes,It is convenient for my college or workplace.
STUDENT,5500,20.4,5,5,same day,0,"Yes, straightforward",fair,5,Maybe,"The PG is convenient, although some amenities need improvement."
WORKING PROFESSIONAL,18000,16.5,5,5,no complaints raised,0,Not sure,fair,5,Yes,The rent is reasonable and the facilities are good.
WORKING PROFESSIONAL,17000,1.0,4,4,no complaints raised,1,Not sure,fair,3,No,Maintenance issues take too long to resolve.
WORKING PROFESSIONAL,5000,29.9,5,4,no complaints raised,2,"Yes, straightforward",fair,5,Maybe,"The security is good, but the rent is slightly high."
WORKING PROFESSIONAL,5000,28.7,5,5,same day,0,"Yes, straightforward",fair,5,Yes,The location is convenient and the overall experience is good.
WORKING PROFESSIONAL,18000,12.2,4,5,same day,0,Not sure,fair,4,Yes,The management responds well to complaints.
WORKING PROFESSIONAL,5000,13.5,5,4,no complaints raised,2,Not sure,fair,5,Yes,The rent is reasonable and the facilities are good.
WORKING PROFESSIONAL,12000,27.1,4,5,few days,0,Not sure,fair,5,Yes,The management responds well to complaints.
WORKING PROFESSIONAL,5000,13.5,4,3,same day,0,"Yes, straightforward",fair,5,Yes,The location is convenient and the overall experience is good.
WORKING PROFESSIONAL,6500,1.0,5,3,no complaints raised,1,"Yes, straightforward",fair,5,Yes,The rent feels fair compared with other PGs nearby.
WORKING PROFESSIONAL,9500,23.6,2,5,no complaints raised,2,Not sure,fair,3,Maybe,"The facilities are decent, although maintenance can improve."
